alder  jordtype  blok  top
1  A  1  4.8
1  A  2  6.99
1  A  3  4.63
1  A  4  7.39
2  A  1  5.21
2  A  2  9.2
2  A  3  4.51
2  A  4  5.98
3  A  1  8.73
3  A  2  5.68
3  A  3  12.42
3  A  4  15.24
1  B  1  3.14
1  B  2  3.69
1  B  3  2.24
1  B  4  1.08
2  B  1  2.21
2  B  2  3.54
2  B  3  10.23
2  B  4  3.7
3  B  1  6.14
3  B  2  7.4
3  B  3  12.43
3  B  4  8.87
1  C  1  25.16
1  C  2  10.07
1  C  3  5.18
1  C  4  6.87
2  C  1  11.82
2  C  2  21.13
2  C  3  19.1
2  C  4  13.61
3  C  1  25.49
3  C  2  22.39
3  C  3  20.3
3  C  4  18.92
