region	kommune_id	dec	jan
Syddanmark	580	5.68	3.57
Nordjylland	851	11.22	4.28
Midtjylland	751	17.32	5.23
Syddanmark	492	1.34	2.68
Hovedstaden	165	27.66	9.74
Hovedstaden	201	15.6	5.27
Syddanmark	420	5.74	2.64
Hovedstaden	151	24.79	8.02
Syddanmark	530	4.51	2.03
Hovedstaden	400	5.39	0.94
Hovedstaden	153	26.39	11.74
Nordjylland	810	6.25	4.74
Hovedstaden	101	26.14	7.06
Hovedstaden	155	22.91	6.07
Hovedstaden	240	20.9	5.77
Syddanmark	561	7.5	4.56
Syddanmark	430	5.92	2.75
Syddanmark	563	6.02	0.29
Midtjylland	710	10.54	4.26
Sjælland	320	13.26	4.76
Hovedstaden	210	14.32	9.69
Syddanmark	607	6.19	3.93
Hovedstaden	147	25.77	6.35
Nordjylland	813	5.95	5.2
Hovedstaden	250	13.13	5.44
Hovedstaden	190	17.6	5.66
Hovedstaden	157	20.41	5.44
Hovedstaden	159	22.8	8.17
Hovedstaden	161	24.78	8.26
Sjælland	253	21.24	8.37
Hovedstaden	270	17.2	6.99
Sjælland	376	13.11	5.52
Syddanmark	510	4.62	3.27
Hovedstaden	260	12.17	5.42
Midtjylland	766	6.66	2.2
Hovedstaden	217	18.09	8.34
Hovedstaden	163	29.6	10.47
Midtjylland	657	7.12	2.5
Hovedstaden	219	20.05	5.47
Nordjylland	860	4.96	4.56
Hovedstaden	169	23.07	11.68
Sjælland	316	12.3	7.45
Midtjylland	661	9.56	2.63
Midtjylland	615	8.92	3.91
Hovedstaden	223	13.63	5.71
Hovedstaden	167	23.71	9.29
Midtjylland	756	9.45	3.43
Hovedstaden	183	34.02	14.27
Nordjylland	849	7.85	3.89
Sjælland	326	14.49	5.2
Syddanmark	440	8.65	2.52
Sjælland	259	16.83	7.2
Syddanmark	621	8.15	4.08
Nordjylland	825	0.56	1.12
Syddanmark	482	4.8	1.12
Sjælland	350	14.11	6.61
Midtjylland	665	3.45	0.96
Sjælland	360	9.59	6.3
Hovedstaden	173	19.16	4.16
Nordjylland	846	6.82	7.2
Syddanmark	410	8.39	4.71
Nordjylland	773	9.19	4.69
Sjælland	370	13.71	6.04
Midtjylland	707	8.55	2.59
Syddanmark	480	8.39	2.97
Syddanmark	450	5.75	3.62
Midtjylland	727	8.01	3.59
Syddanmark	461	13.09	4.32
Sjælland	306	11.2	5.16
Midtjylland	730	12.46	3.76
Nordjylland	840	8.34	4.18
Midtjylland	760	3.8	1.66
Sjælland	329	15.75	4.62
Hovedstaden	175	27.35	7.92
Sjælland	265	14.72	6.44
Hovedstaden	230	18.83	4.76
Midtjylland	741	6.29	6.02
Midtjylland	740	8.55	3.84
Midtjylland	746	13.19	5.41
Midtjylland	779	5.76	2.64
Sjælland	330	18.87	5.68
Sjælland	269	23.39	5.5
Syddanmark	540	9.71	4.12
Sjælland	340	11.04	4.52
Sjælland	336	14.91	4.87
Midtjylland	671	11.93	2.76
Syddanmark	479	7.17	2.21
Midtjylland	706	6.42	2.91
Hovedstaden	185	23.94	7.33
Nordjylland	787	6.29	5.43
Syddanmark	550	4.44	3.72
Hovedstaden	187	25.61	9.86
Syddanmark	573	5.32	4.34
Syddanmark	575	6.71	2.83
Syddanmark	630	8.85	3.42
Nordjylland	820	4.6	3.08
Midtjylland	791	8.59	2.69
Sjælland	390	12.79	3.36
