Size	Price	Baths
2048	279900	2
912	146500	1
1654	237700	2
2068	200000	2
1477	159900	3
3153	499900	2
1355	265500	2
2075	289900	2
3990	587000	4
1160	70000	2
1220	64500	2
1690	167000	2
1380	114600	2
1590	103000	2
1050	101000	1
770	70000	1
1410	85000	2
1060	22500	1
1300	90000	2
1500	133000	2
820	90500	1
3949	577500	3
1170	142500	1
1500	160000	2
2790	240000	2
1030	87000	1
1250	118600	2
1760	140000	2
1550	148000	3
1120	69000	2
2000	176000	2
1350	86500	1
1840	180000	2
2510	179000	2
3110	338000	3
1760	130000	2
1710	163000	2
1110	125000	1
1360	100000	2
1250	100000	1
1250	100000	1
1480	146500	2
1520	144900	2
2020	183000	2
1010	69900	2
1640	60000	2
940	127000	2
1580	86000	2
860	50000	2
1420	137000	2
1270	121300	2
980	81000	1
2300	188000	2
1430	85000	2
1380	137000	2
1240	145000	2
1120	69000	2
1120	109300	2
1900	131500	2
2430	200000	3
1080	81900	2
1350	91200	1
1720	124500	3
4050	225000	3
1500	136500	2
2581	381000	3
2120	250000	2
2745	354900	3
1520	140000	2
1280	89900	2
1620	137000	2
1520	103000	2
2030	183000	2
1390	140000	2
1880	160000	2
2891	434000	2
1340	130000	1
940	123000	2
580	21000	1
1410	85000	2
1150	69900	2
1380	125000	2
1470	162600	2
1590	156900	2
1200	105900	2
1920	167500	2
2150	151800	2
2200	118300	3
860	94300	2
1230	93900	1
1140	165000	2
2650	285000	3
1060	45000	1
1770	124900	2
1860	147000	2
1060	176000	2
1730	196500	2
1370	132200	2
1560	88400	2
1340	127200	2
