land SWL selskab indkomst VAT
Argentina 226.67 35 35 21
Australia 243.33 30 45 10
Austria 260 25 50 20
Belgium 243.33 33.99 50 21
Brazil 210 34 27.5 25
Bulgaria 143.33 10 10 20
Canada 253.33 19.5 29 5
China 210 25 45 17
Cyprus 230 10 30 15
Czech-Republic 213.33 20 15 19
Denmark 273.4 25 59 25
Egypt 160 20 20 10
Estonia 170 21 20 18
Finland 256.67 26 30.5 22
France 220 33.33 40 19.6
Germany 240 33 45 19
Greece 210 25 40 19
Hong-Kong 220 16.5 17 0
Hungary 190 16 36 20
India 180 40 30 12.5
Indonesia 220 28 30 10
Ireland 253.33 12.5 41 21.5
Israel 223.33 26 46 15.5
Italy 230 31.4 43 20
Japan 206.67 30 50 5
Latvia 156.67 15 23 21
Lithuania 156.67 15 24 19
Luxembourg 253.33 21 38 15
Malta 250 35 35 18
Mexico 230 28 28 15
Morocco 186.67 35 41.5 20
Netherlands 250 25.5 52 19
New-Zealand 246.67 30 39 12.5
Norway 246.67 28 49 25
Pakistan 143.33 35 25 15
Philippines 213.33 30 32 12
Poland 196.67 19 32 22
Portugal 203.33 25 42 20
Romania 173.33 16 16 19
Russia 143.33 20 13 18
Saudi-Arabia 243.33 20 20 0
Singapore 230 18 20 7
Slovakia 180 19 19 19
Slovenia 220 21 41 20
South-Africa 190 28 40 14
Spain 233.33 30 43 16
Sweden 256.67 26.3 57 25
Taiwan 220 25 40 5
Thailand 216.67 30 37 7
Turkey 176.67 20 35 18
U.K. 236.67 28 40 15
U.S.A. 246.67 35 35 0
Ukraine 120 25 15 20
Vietnam 203.33 25 35 10
Zambia 163.33 35 35 16
