race	maxLA
Border_Terrier	6.07
Border_Terrier	4.67
Border_Terrier	4.4
Border_Terrier	4.48
Border_Terrier	2.78
Border_Terrier	3.6
Border_Terrier	3.5
Border_Terrier	6.6
Border_Terrier	6.08
Border_Terrier	7.99
Border_Terrier	4.62
Border_Terrier	5.84
Border_Terrier	5.04
Border_Terrier	5.44
Border_Terrier	3.94
Border_Terrier	4.93
Border_Terrier	4.48
Border_Terrier	4.97
Border_Terrier	4.94
Border_Terrier	6
Border_Terrier	4.67
Border_Terrier	8.12
Border_Terrier	3.75
Border_Terrier	5.04
Petit_Basset	10.1
Petit_Basset	9.47
Petit_Basset	11.99
Petit_Basset	9.56
Petit_Basset	11.76
Petit_Basset	15.28
Petit_Basset	8.65
Petit_Basset	5.73
Petit_Basset	12.57
Petit_Basset	16.15
Petit_Basset	12.87
Petit_Basset	12.77
Petit_Basset	13.25
Petit_Basset	8.86
Petit_Basset	14.48
Petit_Basset	15.18
Petit_Basset	14.23
Petit_Basset	14.55
Petit_Basset	13.04
Petit_Basset	11.33
Whippet	9.61
Whippet	11.78
Whippet	8.39
Whippet	9.58
Whippet	9.42
Whippet	9.49
Whippet	11.55
Whippet	15.41
Whippet	7.44
Whippet	9.6
Whippet	11.12
Whippet	7.16
Whippet	11.81
Whippet	12.65
Whippet	10.11
Whippet	10.92
Whippet	13.16
Labrador	17.12
Labrador	26.73
Labrador	12.22
Labrador	18.01
Labrador	17.87
Labrador	16.08
Labrador	23.04
Labrador	18.76
Labrador	19.32
Labrador	19.49
Labrador	19.68
Labrador	17.5
Labrador	13.86
Labrador	19.08
Labrador	21.04
Labrador	22.54
Labrador	19.37
Grand_Danois	37.74
Grand_Danois	30.26
Grand_Danois	55.63
Grand_Danois	39.32
Grand_Danois	45.91
Grand_Danois	39.65
Grand_Danois	47.99
Grand_Danois	26.82
Grand_Danois	37.9
Grand_Danois	36.09
Grand_Danois	21.35
Grand_Danois	28.38
Grand_Danois	32.23
Grand_Danois	28.87
Grand_Danois	32.42
Grand_Danois	24.54
Grand_Danois	34.11
Grand_Danois	34.48
Grand_Danois	40.2
