bodyfat hip abdomen
12.6 94.5 85.2
6.9 98.7 83
24.6 99.2 87.9
10.9 101.2 86.4
27.8 101.9 100
20.6 107.8 94.4
19 100.3 90.7
12.8 97.1 88.5
5.1 99.9 82.5
12 104.1 88.6
7.5 98.2 83.6
8.5 107.7 90.9
20.5 103.9 91.6
20.8 108.6 101.8
21.7 100.1 96.4
20.5 99.2 92.8
28.1 105.2 96.4
22.4 107 97.5
16.1 102.4 89.6
16.5 109 100.5
19 104.9 95.9
15.3 104.8 98.8
15.7 94.6 76.4
17.6 93.4 80
14.2 95.8 76.3
4.6 96.5 79.7
8.5 85.3 74.6
22.4 94.7 88.7
4.7 88.5 73.9
9.4 98.7 83.5
12.3 99.8 88.7
6.5 100.6 84.5
13.4 94.5 79.1
20.9 108.3 100.5
31.1 116.1 115.6
38.2 113.8 113.1
23.6 106.2 100.9
27.5 104.8 98.8
31.3 102.5 108.1
30.4 114.1 111.2
30.8 106 104.3
8.4 88.2 76
14.1 97.2 81.5
11.2 88.5 73.7
13.4 90.4 83.4
5 87.2 70.4
10.7 98.3 86.7
7.4 91 77.9
8.7 89.1 82
7.1 91.6 79.6
4.9 88.6 77.6
22.2 99.6 100
20.1 102.5 99.8
27.1 105.8 104.2
30.4 97 105.3
24 99.6 98.3
25.4 103.1 104.8
28.8 100.8 94.7
29.6 99.4 102.4
25.1 99.7 99.7
31 108.3 105.5
28.9 104.2 100.3
21.1 93.9 83.9
14 91.8 86.6
7.1 96.1 78.4
13.2 94.3 84.6
23.7 98.5 91.5
9.4 95.5 82.8
9.1 96.3 82.9
13.7 88.6 76
12 93 83.3
9.2 94.3 78.8
21.7 98.3 95
21.1 99.3 95.4
18.6 100.2 98.6
30.2 97.1 95.8
26 96.9 89
18.2 99.6 97.8
26.2 95 94.9
26.1 96.2 99.8
25.8 96.2 89.7
15 96.9 88.1
22.6 93.8 90.9
8.8 99.3 86
14.3 98.3 86.5
20.2 102.2 95.6
18.1 100.6 93.2
9.2 95.4 83.1
24.2 100.6 97.5
9.6 101.4 88.8
10.1 102.4 91.6
11.1 96.2 86.7
17.7 92.8 88.2
21.7 103.7 94
20.8 101.7 95
20.1 98.3 92
19.8 98.3 89.2
21.9 101.6 95.5
24.7 99.5 98.6
17.8 96.6 87.3
19.1 103.6 102.8
18.2 100.7 101.6
17.2 102.1 88.7
21 100.6 92.3
19.5 99.3 90.6
27.1 103 105
21.6 98.6 95
20.9 99.8 89.6
25.9 97.5 92.4
16.7 92.6 86.6
19.8 99.7 90
14.1 96.4 90
25.1 104.3 92.4
17.9 101 87.5
27 104.1 99.2
24.6 101.4 98.1
14.8 97.5 83.3
16 95.2 86.1
14 94 84.1
17.4 100 89.9
26.4 98.5 92.1
17.4 93.2 78
20.4 99.5 93.5
15 97.8 87
18 95.8 90.1
22.2 99.1 90.3
23.1 103.2 99.8
25.3 92.3 89.4
23.8 98.4 87.2
26.3 102.1 101.1
21.4 95.6 86.1
28.4 100.6 98.6
21.8 98.3 88.5
20.1 107.7 106.6
24.3 101.6 93.1
18.1 99.3 93
22.7 98.9 91
9.9 93.9 77.1
10.8 102.5 85.3
14.4 95.3 81.9
19 110.1 99.1
28.6 106.2 100.5
6.1 92.1 76.5
24.5 113.9 106.8
9.9 93.5 77.6
19.1 114.4 102.9
10.6 91.1 72.8
16.5 95.2 88.2
20.5 105 100.1
17.2 98.3 83.5
30.1 106.4 105
10.5 102.5 90.8
12.8 89.8 76.6
22 99.3 92.4
9.9 91.5 81.2
14.8 105.1 95.6
13.3 103.5 92.1
15.2 89.6 83.4
26.5 108.8 106
19 104.5 95.1
21.4 95.6 90.4
20 106.8 100.4
34.7 111.9 115.9
16.5 98.1 90.8
4.1 92.8 81.9
20.2 98.7 90.3
16.8 99.9 90.3
24.6 114.4 108.8
10.4 89.2 79.4
13.4 96.4 83.2
28.8 113.9 110.3
22 101.9 92.7
16.8 109.9 104.5
25.8 109.8 104.6
11.9 91.6 83.6
12.4 96.1 86.8
17.4 95.5 90.4
9.2 98.1 83.7
23 108.8 109.3
20.1 104.1 98.9
20.2 101.8 98
23.8 103.1 101.2
11.8 92.3 80.6
36.5 112.4 113.7
16 102.7 94.1
24 111.8 105.7
22.3 96.5 85.6
24.8 100.6 96.6
21.5 96.2 86
17.6 101 89.7
7.3 99 78
22.6 94.2 89.7
12.5 99.2 89.2
21.7 96.9 85.7
27.7 105.5 103.1
6.8 102.6 89.1
33.4 107.1 113.9
16.6 102 96.3
31.7 100.1 93.9
31.5 101.7 101.3
10.1 91.8 83.9
11.3 94 84.4
7.8 89 79.4
26.4 109 104
19.3 99.1 89.7
18.5 104.2 97.6
19.3 96.1 87.6
13.8 96.3 81.1
8.2 94.4 81.5
23.9 105 100
15.1 94.5 88.7
12.7 96.2 91.8
25.3 105.5 110.4
11.9 95.6 87.6
6.1 91.9 82.8
11.3 98.2 95.3
12.8 87.5 78.2
14.9 97.1 91.1
24.5 106.6 96.7
15 98.4 89.4
16.9 97 93
11.1 90.1 86.4
16.1 100.7 96.7
15.5 97.8 88.1
25.9 100.2 94.9
25.5 94 93.3
18.4 93.7 95.6
24 101.1 98.2
26.4 111.8 113.8
12.7 94.5 82.8
28.8 100.5 100.5
17 87.6 79.7
33.6 114.3 118
29.3 109.1 109
31.4 109.8 113.4
28.1 101.6 106.1
15.3 94.4 84.3
29.1 110 107.6
11.5 88.8 83.6
32.3 104.5 105
28.3 101.7 111.5
25.3 97.8 101.3
30.7 107.1 108.5
