alder      pris
    12  14012.50
     9  28025.00
     8  14245.25
     3  56762.50
     9  28975.00
     1 125875.00
     9  32537.50
    10  26077.50
     5  61745.25
     9  47025.00
     2  94525.00
    11  18952.50
    18   3800.00
    10  18525.00
    12  33250.00
    11  13062.50
     6  52250.00
     4  45837.50
     7  35625.00
     2 125875.00
    18   9452.50
     7  33250.00
    13  16625.00
     6  33202.50
     1 189952.50
     4 142452.50
     1 142452.50
     2 123452.50
     3 104452.50
     3  94952.50
     5  28500.00
     9  28495.25
    10  28452.50
     3  59375.00
     6  66500.00
     1  97375.00
    12  20187.50
    11  21375.00
     6  36812.50
    20   4512.50
    12  20425.00
    17  10925.00
     5  45077.50
     7  42275.00
    11  14250.00
     8  30875.00
    12  38000.00
    18   6887.50
     4  67212.50
    14   9262.50
    15   8550.00
     3  85500.00
     3  77662.50
    13   8027.50
    10  16577.50
     2 123500.00
    12  19000.00
    10  26077.50
     5  37525.00
     9  49875.00
    10  19950.00
    10  26125.00
    12  12350.00
    10  24225.00
    10  19000.00
    14  21375.00
    13  12350.00
    16  11400.00
    11  23275.00
     4  71012.50
     8  42275.00
     6  64077.50
     7  26077.50
     7  61745.25
     3 102125.00
    12  19950.00
     9  19950.00
     7  49875.00
     7  51300.00
     7  40850.00
     8  42512.50
     5  37525.00
    12  17575.00
     0 121600.00
     7  52250.00
     5  41325.00
    11  18050.00
     2  52012.50
     8  30637.50
     5  44887.50
    15  14012.50
     5  49875.00
     7  38000.00
    12  21850.00
     8  23631.25
     4  90012.50
     6  47500.00
     1 142500.00
     9  19000.00
     4  36337.50
    15  12801.25
     5  59327.50
     2 175275.00
     3  85500.00
     2 132525.00
     1 109012.50
     0 113525.00
     5  56525.00
     7  46550.00
     2  99655.00
     9  52155.00
    11  13300.00
     1 116375.00
     9  52226.25
    12  37425.25
     9  33202.50
    14   7115.50
     3  85025.00
     5  47452.50
     0  66452.50
     2  47452.50
