dosis0  konc24
8.52  32.06
8.53  32.6
6.04  29.18
8.89  35.44
8.00  30.19
7.37  32.07
5.63  21.18
2.38  10.37
9.06  36.41
1.63  5.41
5.81  23.32
4.73  18.86
7.64  27.09
5.1  18.51
4.11  21.45
6.42  26.84
8.89  35.28
5.45  23.87
5.7  29.23
2.16  12.04
6.13  26.23
2.63  7.21
9.06  37.03
9.36  39.04
5.88  24.18
7.98  35.15
9.91  44.92
5.98  24.23
6.39  26.42
6.75  27.62
1.34  6.2
3.92  16.21
8.00  32.41
9.4  38.93
6.5  26.67
1.9  10.35
2.11  7.54
7.03  27.81
7.31  31.56
5.62  26.38
1.78  1.75
4.28  15.76
2.15  6.29
4.96  21.74
7.36  31.86
1.17  1.86
2.04  9.73
4.65  19.54
7.72  33.14
9.28  37.24
4.79  22.27
4.65  15.25
3.66  15.44
9.51  40.01
5.8  24.53
6.68  27.54
4.69  21.32
2.32  6.35
1.14  1.49
9.95  44.00
4.59  15.12
8.94  33.31
7.83  28.1
5.29  20.76
3.16  15.23
9.79  39.41
7.35  30.2
1.93  5.67
1.28  6.39
7.78  31.44
1.12  2.06
3.59  17.72
3.24  11.99
9.68  36.5
3.05  13.57
