studie	alder	transporttid
HV	31	20
NR	23	25
JE	19	14
BB	27	10
NR	23	11
HV	24	35
HV	20	20
HV	20	120
NR	22	30
HV	20	30
NR	29	5
HV	23	180
HV	23	60
BB	20	20
BB	22	25
HV	26	120
NR	22	30
BB	23	20
BB	20	50
HV	21	30
JE	22	20
BB	24	40
BB	23	60
NR	24	5
BB	20	10
HV	20	60
HV	22	40
NR	23	30
NR	23	20
HV	21	25
BB	22	25
BB	26	20
BB	23	10
BB	23	15
BB	21	5
HV	22	15
JE	24	10
NR	30	25
BB	22.5	18
NR	22	15
NR	26	10
BB	21	45
BB	21	20
NR	24	15
BB	20	20
NR	23	20
BB	23	20
HV	21	50
NR	22	12
BB	22	30
NR	23	45
NR	21	8
JE	22	10
NR	24	10
NR	23	30
BB	21	30
HV	23	60
BB	21	27
NR	22	30
JE	21	6
BB	19	55
JE	22	20
NR	23	10
NR	26	15
NR	26	15
NR	27	20
BB	20	35
NR	25	20
JE	22	30
BB	24	25
HV	21	40
NR	22	25
NR	22	15
JE	23	1
NR	23	45
NR	25	35
NR	23	5
BB	23	5
NR	25	10
JE	22	30
JE	22	10
BB	27	15
NR	23	30
NR	25	15
HV	23	35
NR	22	17
BB	20	20
HV	25	5
BB	21	50
BB	21	15
BB	22	30
NR	23	15
NR	23	35
HV	23	70
BB	24	20
HV	20	65
NR	22	3
NR	23	25
BB	23	20
BB	20	15
BB	22	20
NR	22	7
BB	30	1
HV	22	60
BB	20	45
JE	23	2
NR	22	15
HV	22	90
JE	22	90
BB	25	30
NR	21	30
NR	25	15
BB	22	15
NR	23	25
BB	23	30
BB	22	45
NR	22	15
BB	20	64
HV	21	25
HV	21	45
BB	19	4
BB	20	55
BB	20	15
JE	23	20
BB	23	40
HV	22	30
BB	33	30
HV	32	25
BB	23	20
BB	20	10
BB	21	25
NR	26	10
BB	21	25
NR	24	10
NR	24	13
JE	21	25
NR	31	20
BB	23	15
JE	22	15
BB	23	5
BB	24	15
BB	21	15
HV	23	12
BB	22	30
JE	26	40
HV	22	15
NR	24	15
NR	25	20
NR	22	25
NR	21	4
HV	21	30
NR	22	15
NR	24	1
HV	21	25
NR	25	30
HV	23	15
NR	26	20
BB	21	5
BB	21	15
NR	25	40
JE	24	45
HV	23	45
BB	22	25
HV	22	70
JE	22	10
BB	21	8
HV	21	40
BB	23	3
NR	25	11
HV	22	10
HV	21	30
BB	21	20
JE	20	5
