cases	deaths
8966581	231174
7946429	119535
5411550	157451
1547774	26589
1165278	35018
1156498	35031
1102301	29301
1025052	30348
895326	89171
894690	44998
890574	34197
716759	19008
581824	33299
542789	37479
503598	14003
459908	10724
454115	10210
401586	5838
396454	13512
373144	7053
363999	9874
355601	6590
345631	5329
333718	10899
329375	6745
311313	2452
301597	7072
280229	4615
268370	2365
220213	9973
217216	6574
199745	3373
162178	12573
160400	876
140952	8658
131689	230
129751	2638
127624	482
127042	2147
124843	2225
123092	756
121133	2343
113820	1203
110684	1796
110594	5933
106707	6211
104894	3651
104460	1312
97074	1718
94609	965
93966	2633
93707	1437
90047	777
86102	1005
85826	4634
80533	316
80410	1222
72186	579
71811	1700
65765	554
63642	1535
62111	1132
60109	1333
58067	1885
57980	28
57975	812
56738	1136
56419	1922
55055	624
52399	983
51149	688
50952	454
49997	920
47775	316
46200	1122
46056	176
43151	1125
42157	709
41032	1523
40132	1136
39827	793
38621	470
32925	953
32127	238
31496	581
28640	238
27541	905
27199	934
26043	460
25603	264
21793	426
20486	122
19445	480
18342	279
16968	244
16909	270
16200	348
15571	322
14970	354
14399	147
