figur1 figur2 figur3
30 45 25
60 190 35
31 48 21
37 49 28
80 175 60
60 50 30
95 95 50
51 66 25
54 104 29
70 120 50
68 80 30
40 100 30
45 90 40
48 62 26
60 80 40
50 80 35
110 130 60
100 110 50
75 90 50
78 105 54
40 40 20
100 150 60
100 150 60
93 102 46
70 115 45
82 139 53
100 100 50
43 67 33
60 100 57
60 100 40
63 87 45
61 135 31
80 120 35
130 170 70
50 85 40
87 123 47
80 130 60
65 75 45
75 95 45
103 200 73
48 63 42
72 94 50
55 70 25
70 100 40
56 80 35
50 75 30
61 130 43
50 70 30
72 110 34
55 80 40
75 150 45
40 60 25
85 160 60
90 125 50
90 75 50
97 100 55
100 160 60
50 60 30
76 84 49
90 110 50
42 60 28
100 150 30
60 50 35
120 150 65
110 150 50
45 78 27
100 110 40
67 77 37
50 95 35
75 112 50
35 50 25
60 70 40
150 120 60
57 85 37
125 140 85
60 100 30
33 45 31
55 90 35
50 75 35
60 100 40
70 95 30
65 152 47
88 166 70
108 135 72
67 137 52
74 100 52
120 150 60
60 50 40
54 84 43
50 100 45
42 45 30
70 100 55
47 77 49
55 75 30
65 87 34
50 60 40
74 81 40
71 127 65
85 150 50
60 100 40
75 100 50
70 100 50
58 58 42
123 204 73
50 120 50
63 113 42
60 103 46
70 80 40
87 134 46
70 100 50
83 124 41
80 130 60
75 120 45
50 70 30
120 130 80
62 88 40
55 115 32
70 100 50
57 71 40
54 73 32
120 115 110
66 101 33
60 98 53
50 70 30
48 84 52
108 150 64
75 100 60
47 74 33
85 120 80
35 70 24
88 105 45
53 71 35
70 120 50
128 128 60
35 55 25
90 130 60
65 72 46
60 120 48
50 80 50
88 166 70
86 76 40
100 180 45
75 125 40
