Sted	Fosfor
OestDK	255
OestDK	102.455
OestDK	165.932
OestDK	42.526
OestDK	102.004
OestDK	60.56
OestDK	89.778
OestDK	182.5
OestDK	242.743
OestDK	30.889
OestDK	145.5
OestDK	352.4
OestDK	276.324
OestDK	144.75
OestDK	128.162
OestDK	566
OestDK	536.912
OestDK	44.5
OestDK	68.783
OestDK	1298.315
OestDK	60.357
OestDK	174.968
OestDK	25.462
OestDK	169.467
OestDK	159.873
OestDK	70.079
OestDK	51.199
OestDK	7
OestDK	6
OestDK	82.727
OestDK	21.794
OestDK	93.654
OestDK	325.6
OestDK	1076.167
OestDK	216.614
OestDK	148
OestDK	213.99
OestDK	535
OestDK	445.344
OestDK	434.857
OestDK	377.833
OestDK	201
OestDK	112
OestDK	197.667
OestDK	67.714
OestDK	204.733
OestDK	206.169
OestDK	90.714
OestDK	209.524
OestDK	37.125
OestDK	202.222
OestDK	123.667
OestDK	141.421
OestDK	83.545
OestDK	200.083
OestDK	307.875
OestDK	222.375
OestDK	49.169
OestDK	74.053
OestDK	210.326
OestDK	192.949
OestDK	182.176
OestDK	25.333
OestDK	54.44
OestDK	14.75
OestDK	21.4
OestDK	784.974
OestDK	387.75
OestDK	302.024
OestDK	111.5
OestDK	60.902
OestDK	91.789
OestDK	189.7
OestDK	90.875
OestDK	30.583
OestDK	159.956
OestDK	147.8
OestDK	118.84
OestDK	80.4
OestDK	238.048
OestDK	371.444
OestDK	170.456
OestDK	553.333
OestDK	98.273
OestDK	169.469
OestDK	165.286
OestDK	257.538
OestDK	2367.222
OestDK	299.957
OestDK	66.78
OestDK	25.857
OestDK	159.191
OestDK	603.864
OestDK	47.273
OestDK	183.564
OestDK	75.565
OestDK	16.333
OestDK	178.125
OestDK	179.537
OestDK	99.534
OestDK	87.562
OestDK	51.312
OestDK	71
OestDK	189.708
OestDK	230.323
OestDK	36.667
OestDK	351.429
OestDK	28.381
OestDK	112.5
OestDK	273.082
OestDK	534.278
OestDK	164
OestDK	97.524
OestDK	64.091
OestDK	1473.375
OestDK	111.426
OestDK	52.429
OestDK	14.857
OestDK	217.364
OestDK	113.93
OestDK	156.143
OestDK	109.639
OestDK	483.286
OestDK	20.155
OestDK	87.446
OestDK	160.545
OestDK	80.41
OestDK	219.871
OestDK	1533.375
OestDK	254.312
OestDK	149.214
OestDK	106.083
OestDK	73.679
OestDK	141.436
OestDK	213.786
OestDK	96.52
OestDK	556.083
OestDK	253.57
OestDK	340.429
OestDK	1835.294
OestDK	118.333
OestDK	84.489
OestDK	38.571
OestDK	364
OestDK	225.857
OestDK	64.652
OestDK	214.571
OestDK	51.328
OestDK	213.284
OestDK	223.821
OestDK	110.734
OestDK	102.309
OestDK	60.556
OestDK	110.727
OestDK	95.521
OestDK	63.571
OestDK	66.923
OestDK	111.333
OestDK	171.2
OestDK	584
OestDK	136.848
OestDK	145.88
OestDK	172.676
OestDK	701.481
OestDK	121.038
OestDK	134.789
OestDK	72.062
OestDK	43.678
OestDK	112.8
OestDK	48.429
OestDK	101.619
OestDK	176.333
OestDK	47
OestDK	39.468
OestDK	158.867
OestDK	252.8
OestDK	68.692
OestDK	206.667
OestDK	11.111
OestDK	84.541
OestDK	529.883
OestDK	19.8
OestDK	173.308
OestDK	208.739
OestDK	59.891
OestDK	11.333
OestDK	138.214
OestDK	544
OestDK	73.565
OestDK	171.433
OestDK	782.5
OestDK	197.783
OestDK	241.556
OestDK	1215.517
OestDK	479.615
OestDK	43.94
OestDK	66.364
OestDK	627.647
OestDK	243.165
OestDK	83.5
OestDK	115.337
OestDK	222.524
OestDK	173.558
OestDK	54.016
OestDK	402.346
OestDK	196.66
OestDK	113.86
OestDK	142.255
OestDK	153.703
OestDK	200
OestDK	120
OestDK	355
OestDK	79.881
OestDK	388.172
OestDK	380.892
OestDK	345.924
OestDK	510
OestDK	97.608
OestDK	90.562
OestDK	151.267
OestDK	47.929
OestDK	82.917
OestDK	140.906
OestDK	123.474
OestDK	140.213
OestDK	90.462
OestDK	918.818
OestDK	580
OestDK	71.574
OestDK	198
OestDK	119.037
OestDK	104.5
OestDK	413.571
OestDK	281
OestDK	757.5
Jylland	1638.571
Jylland	90
Jylland	230
Jylland	38.833
Jylland	209.125
Jylland	680
Jylland	150
Jylland	380
Jylland	77.25
Jylland	99.188
Jylland	55.917
Jylland	256.915
Jylland	63
Jylland	516.083
Jylland	140
Jylland	38.84
Jylland	65.35
Jylland	33.545
Jylland	84.455
Jylland	21.714
Jylland	21.6
Jylland	44.375
Jylland	108.991
Jylland	35.8
Jylland	206.05
Jylland	88.533
Jylland	200.7
Jylland	55.545
Jylland	43.857
Jylland	137.537
Jylland	40.543
Jylland	155.417
Jylland	235.405
Jylland	69.083
Jylland	52.571
Jylland	328
Jylland	166.857
Jylland	131.274
Jylland	168.029
Jylland	51.132
Jylland	455.105
Jylland	144.705
Jylland	70.571
Jylland	111.636
Jylland	101.455
Jylland	142.556
Jylland	91
Jylland	57.057
Jylland	50.611
Jylland	72.24
Jylland	68.567
Jylland	74.875
Jylland	242.419
Jylland	104.574
Jylland	93.5
Jylland	191.026
Jylland	138
Jylland	202.7
Jylland	209.429
Jylland	13.5
Jylland	396.111
Jylland	66.4
Jylland	42.026
Jylland	49.245
Jylland	74.106
Jylland	121.585
Jylland	95
Jylland	56.094
Jylland	43.6
Jylland	10.418
Jylland	138.375
Jylland	445.188
Jylland	244.286
Jylland	270
Jylland	215.143
Jylland	158
Jylland	38.818
Jylland	36
Jylland	17.783
Jylland	12.8
Jylland	67.143
Jylland	26.667
Jylland	108.048
Jylland	303.846
Jylland	366.722
Jylland	25.429
Jylland	165.269
Jylland	53.178
Jylland	528.103
Jylland	230.786
Jylland	89.722
Jylland	219.359
Jylland	21.125
Jylland	122.089
Jylland	83
Jylland	536.842
Jylland	72.143
Jylland	132
Jylland	46.75
Jylland	90.083
Jylland	118.267
Jylland	102.137
Jylland	159.762
Jylland	134.8
Jylland	160.444
Jylland	21.379
Jylland	166.386
Jylland	65.436
Jylland	62.806
Jylland	845.517
Jylland	265.6
Jylland	62.229
Jylland	51.685
Jylland	82.667
Jylland	54.593
Jylland	329.923
Jylland	51.143
Jylland	149.833
Jylland	572.5
Jylland	50.214
Jylland	593.778
Jylland	60
Jylland	79.7
Jylland	66.788
Jylland	221.852
Jylland	152.393
Jylland	42.75
Jylland	100.588
Jylland	66.8
Jylland	16.622
Jylland	245.5
Jylland	72.821
Jylland	118.676
Jylland	85.542
Jylland	141.935
Jylland	265.154
Jylland	254.103
Jylland	201.175
Jylland	46.419
Jylland	147.282
Jylland	99.048
Jylland	88.19
Jylland	571.667
Jylland	234.538
Jylland	138
Jylland	122.286
Jylland	10.143
Jylland	13
Jylland	207
Jylland	274.455
Jylland	8.714
Jylland	87.963
Jylland	486.923
Jylland	126.532
Jylland	45.685
Jylland	98.839
Jylland	92.16
Jylland	73.237
Jylland	85.118
Jylland	236.846
Jylland	120.167
Jylland	35
Jylland	243.774
Jylland	154.808
Jylland	133.286
Jylland	431.391
Jylland	109.857
Jylland	417.544
Jylland	317.62
Jylland	352.524
Jylland	514.939
Jylland	14.726
Jylland	110.34
Jylland	640.392
Jylland	150.941
Jylland	24.429
Jylland	203.333
Jylland	163
Jylland	80.944
Jylland	67.357
Jylland	158.553
Jylland	31.016
Jylland	63.167
Jylland	192.849
Jylland	233.556
Jylland	127.545
Jylland	321.692
Jylland	107.455
Jylland	342.4
Jylland	349.655
Jylland	162.857
Jylland	182.118
Jylland	73.556
Jylland	114.379
Jylland	11.611
Jylland	89.143
Jylland	206.889
Jylland	76.767
Jylland	348.136
Jylland	31.72
Jylland	22.225
Jylland	87.936
Jylland	48.316
Jylland	210.541
Jylland	218.789
Jylland	592.903
Jylland	24.432
Jylland	311.879
Jylland	125.045
Jylland	74.833
Jylland	47
Jylland	124.857
Jylland	110.488
Jylland	184.321
Jylland	1061.633
Jylland	54
Jylland	169.643
Jylland	356
Jylland	229.652
Jylland	470.87
Jylland	130.837
Jylland	154.789
Jylland	135.4
Jylland	38.5
Jylland	13.889
Jylland	72.884
Jylland	246.217
Jylland	35.714
Jylland	32.111
Jylland	46.667
Jylland	158.143
Jylland	166.534
Jylland	100.136
Jylland	34.4
Jylland	104.737
Jylland	232.729
Jylland	587.683
Jylland	506.056
Jylland	110
Jylland	44.68
Jylland	15.441
Jylland	150.238
Jylland	350.643
Jylland	50.25
Jylland	49.782
Jylland	38.571
Jylland	32.167
Jylland	59.636
Jylland	790
Jylland	7.8
Jylland	29.8
Jylland	30
Jylland	295
Jylland	334
Jylland	25.143
Jylland	38.771
Jylland	124.542
Jylland	604.117
Jylland	11.857
Jylland	18.286
Jylland	97.292
Jylland	1617.143
Jylland	186.714
Jylland	492.068
Jylland	73.944
Jylland	163.76
Jylland	131.188
Jylland	65
Jylland	62.189
Jylland	22.714
Jylland	18.806
Jylland	82.071
Jylland	106.778
Jylland	48.067
Jylland	35.25
Jylland	234.833
Jylland	105.414
Jylland	51.286
Jylland	193
Jylland	33.353
Jylland	120.878
Jylland	46.381
Jylland	55.167
Jylland	63.871
Jylland	110.32
Jylland	122.132
Jylland	69.881
Jylland	158
Jylland	232.438
Jylland	127.103
Jylland	1117.692
Jylland	210
Jylland	623.077
Jylland	136.917
Jylland	78.015
Jylland	108.667
Jylland	183.25
Jylland	51.5
Jylland	32.259
Jylland	38.571
Jylland	83.909
Jylland	90.323
Jylland	470.833
Jylland	67.333
Jylland	31.857
Jylland	50
Jylland	154
Jylland	41.714
Jylland	39.571
Jylland	17.75
Jylland	14.556
Jylland	100.533
Jylland	365.833
