studie kon figur2
Matematik Mand 60
Matematik Mand 70
MatOk Mand 125
Matematik Mand 59
Matematik Mand 150
Matematik Kvinde 80
Matematik Mand 150
Matematik Kvinde 200
Matematik Mand 50
Aktuar Mand 90
MatOk Kvinde 103
MatOk Kvinde 120
Matematik Mand 140
Matematik Mand 65
Aktuar Mand 220
Matematik Mand 165
Matematik Mand 110
Matematik Kvinde 700
Matematik Kvinde 100
MatOk Mand 120
Aktuar Kvinde 100
Matematik Mand 80
Aktuar Mand 89
MatOk Mand 130
Aktuar Mand 120
Matematik Mand 90
Matematik Kvinde 130
Matematik Kvinde 140
Aktuar Mand 134
MatOk Kvinde 100
MatOk Kvinde 80
Matematik Mand 135
Matematik Kvinde 74
Matematik Kvinde 300
Matematik Mand 60
MatOk Kvinde 120
Matematik Kvinde 153
Matematik Mand 120
Matematik Kvinde 175
Matematik Kvinde 77
Matematik Kvinde 55
Aktuar Kvinde 173
MatOk Kvinde 150
MatOk Mand 60
Matematik Mand 123
MatOk Kvinde 50
MatOk Kvinde 60
Aktuar Mand 150
Matematik Mand 149
MatOk Mand 110
Matematik Kvinde 130
Matematik Kvinde 200
Matematik Kvinde 160
MatOk Mand 120
Matematik Mand 256
Aktuar Kvinde 78
Aktuar Mand 100
Matematik Mand 74
MatOk Kvinde 100
MatOk Kvinde 110
MatOk Kvinde 120
Matematik Mand 75
MatOk Mand 131
Matematik Mand 100
Aktuar Mand 70
Matematik Mand 100
Matematik Mand 70
Aktuar Mand 150
Matematik Mand 150
MatOk Mand 123
MatOk Kvinde 80
MatOk Mand 99
Matematik Kvinde 99
Aktuar Mand 120
MatOk Mand 86
Matematik Kvinde 120
Matematik Kvinde 400
Matematik Kvinde 150
Aktuar Kvinde 180
MatOk Kvinde 80
Aktuar Kvinde 80
Matematik Kvinde 250
MatOk Mand 85
MatOk Mand 100
MatOk Kvinde 59
Matematik Kvinde 170
MatOk Mand 134
Aktuar Mand 91
Matematik Mand 150
Matematik Mand 55
Aktuar Mand 91
Matematik Mand 150
Aktuar Kvinde 321
Matematik Mand 50
Matematik Mand 147
Matematik Mand 50
Aktuar Kvinde 80
MatOk Kvinde 165
Matematik Kvinde 120
Matematik Mand 160
Aktuar Mand 70
MatOk Kvinde 121
Matematik Kvinde 150
Aktuar Kvinde 85
Matematik Mand 51
Matematik Kvinde 107
Aktuar Mand 125
MatOk Kvinde 130
Matematik Kvinde 100
Matematik Mand 120
MatOk Kvinde 150
MatOk Mand 537
Aktuar Mand 120
Matematik Mand 70
Matematik Kvinde 100
Matematik Mand 310
MatOk Mand 100
Aktuar Mand 85
Aktuar Mand 128
MatOk Kvinde 105
MatOk Mand 113
Matematik Mand 150
Matematik Mand 77
MatOk Mand 90
Matematik Mand 90
Aktuar Kvinde 160
MatOk Mand 80
Matematik Kvinde 200
MatOk Kvinde 275
MatOk Mand 109
Aktuar Kvinde 86
Aktuar Mand 226
Matematik Mand 76
Matematik Mand 110
MatOk Mand 78
Matematik Mand 120
Matematik Kvinde 80
Matematik Mand 128
Aktuar Mand 90
MatOk Mand 180
Aktuar Mand 120
Aktuar Mand 90
Aktuar Kvinde 120
MatOk Mand 99
Aktuar Mand 120
Aktuar Mand 85
Matematik Kvinde 90
MatOk Mand 80
Matematik Kvinde 133
Aktuar Mand 68
Aktuar Kvinde 75
Aktuar Kvinde 100
Aktuar Kvinde 150
Aktuar Mand 103
MatOk Kvinde 210
Matematik Kvinde 180
MatOk Mand 36
MatOk Kvinde 160
MatOk Mand 141
Aktuar Kvinde 150
MatOk Kvinde 100
Matematik Mand 90
Aktuar Kvinde 95
Matematik Mand 75
MatOk Mand 97
Aktuar Mand 47
MatOk Mand 112
Matematik Mand 50
MatOk Kvinde 150
Matematik Mand 100
MatOk Mand 91
Matematik Kvinde 89
MatOk Kvinde 86
Matematik Mand 50
Aktuar Kvinde 161
Matematik Kvinde 150
Matematik Kvinde 125
Aktuar Mand 89
Matematik Mand 40
Matematik Mand 99
Matematik Mand 117
Matematik Kvinde 100
