Studie	SidsteSudoko	Tid
Aktuar	LaengeSiden	360
Aktuar	ForNylig	208
Aktuar	LaengeSiden	349
Aktuar	LaengeSiden	260
Aktuar	ForNylig	149
Aktuar	LaengeSiden	141
Aktuar	ForNylig	215
Aktuar	LaengeSiden	215
Aktuar	ForNylig	113
Aktuar	ForNylig	200
Aktuar	ForNylig	91
Aktuar	ForNylig	82
Aktuar	ForNylig	169
Aktuar	ForNylig	62
Aktuar	LaengeSiden	211
Aktuar	LaengeSiden	368
Aktuar	LaengeSiden	122
Aktuar	ForNylig	125
Aktuar	LaengeSiden	163
Aktuar	ForNylig	204
Aktuar	ForNylig	200
Aktuar	LaengeSiden	188
Matematik	ForNylig	139
Matematik	ForNylig	183
Matematik	ForNylig	350
Matematik	ForNylig	234
Matematik	ForNylig	182
Matematik	LaengeSiden	103
Matematik	LaengeSiden	342
Matematik	LaengeSiden	417
Matematik	ForNylig	268
Matematik	ForNylig	273
Matematik	ForNylig	174
Matematik	ForNylig	279
Matematik	ForNylig	98
Matematik	ForNylig	97
Matematik	ForNylig	182
Matematik	ForNylig	216
Matematik	ForNylig	246
Matematik	ForNylig	151
Matematik	LaengeSiden	172
Matematik	LaengeSiden	285
Matematik	ForNylig	150
Matematik	ForNylig	139
Matematik	LaengeSiden	298
Matematik	LaengeSiden	114
Matematik	ForNylig	86
Matematik	LaengeSiden	327
Matematik	ForNylig	209
Matematik	ForNylig	145
Matematik	LaengeSiden	270
Matematik	LaengeSiden	150
Matematik	ForNylig	96
Matematik	ForNylig	121
Matematik	ForNylig	155
Matematik	ForNylig	350
Matematik	LaengeSiden	166
Matematik	ForNylig	103
Matematik	ForNylig	324
Matematik	ForNylig	187
Matematik	ForNylig	109
Matematik	LaengeSiden	294
MatOk	ForNylig	67
MatOk	ForNylig	122
MatOk	LaengeSiden	221
MatOk	ForNylig	71
MatOk	ForNylig	193
MatOk	LaengeSiden	371
MatOk	ForNylig	177
MatOk	LaengeSiden	169
MatOk	ForNylig	270
MatOk	ForNylig	224
MatOk	LaengeSiden	421
MatOk	ForNylig	127
MatOk	LaengeSiden	405
MatOk	ForNylig	130
MatOk	LaengeSiden	202
MatOk	ForNylig	215
MatOk	LaengeSiden	142
MatOk	ForNylig	185
