alder	kon	hojde	vaegt	helleVaegt	hest	matematik	figur1	figur2	figur3
22	Mand	178,00	68	64	Nej	7			
21	Kvinde	175,00	71	65	Nej	12			
22	Mand	176,00	90	60	Ja	4			
20	Kvinde	166,00	57	54	Nej				
23	Kvinde	176,00	67	49	Ja	2			
23	Kvinde	170,00	67	65	Ja	4			
24	Mand	175,00	71,5	62	Nej	7			
21	Mand	180,00	68	54	Nej	10			
21	Kvinde	165,00	50	58	Nej	4			
33	Mand	178,00	70	58	Nej	2	50	50	50
31	Mand	186,00	90	62	Nej	4	21		26
30	Mand	187,00	90	58	Nej	7			
20	Mand	178,00	68		Nej	10			
24	Mand	183,00	83	60	Nej	10			
25	Mand	188,00	80	67	Nej	4	30	45	25
26	Mand	193,00	95	63	Nej	4	60	190	35
21	Mand	170,00	70	65	Nej	4	31	48	21
27	Mand	182,00	65	59	Nej	4	37	49	28
19	Kvinde	168,00	51	52	Nej	10	80	175	60
22	Mand	180,00	70	65	Nej	7	60	50	30
25	Kvinde	163,00	63	57	Nej	7	95	95	50
20	Kvinde	166,00	68	60	Nej	7	51	66	25
22	Mand	200,00	95	64	Nej	0	54	104	29
21	Kvinde	177,00	72	62	Nej	10	70	120	50
22	Kvinde	168,00	58	63	Nej	4	68	80	30
20	Kvinde	165,00	55	54	Nej	7	40	100	30
22	Kvinde	165,00	70	65	Nej	4	45	90	40
22	Mand	180,00	74	58	Nej	10	48	62	26
22	Kvinde	167,00	55	62	Nej	10	60	80	40
25	Kvinde	165,00	60	60	Ja	2	50	80	35
30	Kvinde	171,00	64	60	Nej	12	110	130	60
21	Kvinde	165,00	65	55	Nej	4	100	110	50
21	Mand	191,00	70	60	Nej	10	75	90	50
21	Kvinde	167,00	61	59	Nej	4	78	105	54
21	Mand	184,00	65	60	Nej	7	40	40	20
21	Kvinde	167,00	61	60	Nej	7	100	150	60
24	Kvinde	169,00	59	62	Nej	10	100	150	60
25	Kvinde	174,00	96	65	Ja	2	93	102	46
20	Mand	187,00	86	65	Nej	10	70	115	45
25	Kvinde	169,00	58	58	Nej	7	82	139	53
21	Kvinde	170,00	53	60	Nej	10	100	100	50
22	Kvinde	177,00	65	57	Nej	4	43	67	33
22	Kvinde	168,00	58	62	Nej	4	60	100	57
22	Mand	176,00	90	60	Ja	4	60	100	40
21	Kvinde	165,00	74	70	Ja	7	63	87	45
26	Mand	175,00	87	64	Nej	10	61	135	31
21	Kvinde	157,00	68,7	50	Nej	7	80	120	35
25	Kvinde	168,00	74	60	Nej	7	130	170	70
22	Kvinde	181,00	78	70	Nej	7	50	85	40
20	Mand	186,00	83	51,5	Nej	7	87	123	47
21	Kvinde	172,00	62	59	Nej	7	80	130	60
23	Kvinde	170,00	60	70	Nej	0	65	75	45
23	Mand	183,00	81	67	Nej	4	75	95	45
22	Mand	183,00	70	55	Nej	7	103	200	73
22	Kvinde	175,00	76	63	Nej	7	48	63	42
21	Kvinde	169,50	80	66	Nej	7	72	94	50
21	Kvinde	167,00	55	60	Ja	4	55	70	25
22	Kvinde	179,00	77	65	Nej	4	70	100	40
25	Kvinde	176,00	58	57	Ja	4	56	80	35
21	Kvinde	180,00	57	55	Ja	4	50	75	30
25	Kvinde	165,00	63	65	Ja	2	61	130	43
22	Kvinde	164,00	64	55	Nej	4	50	70	30
37	Mand	180,00	76	63	Nej	10	72	110	34
22	Kvinde	162,00	53	62	Ja	7	55	80	40
30	Kvinde	173,00	65	65	Ja	7	75	150	45
22	Kvinde	165,00	70	56	Nej	12	40	60	25
20	Kvinde	169,00	50	55	Nej	12	85	160	60
27	Kvinde	167,00	63	64	Nej	4	90	125	50
24	Kvinde	164,00	57,5	58	Ja	12	90	75	50
23	Kvinde	156,00		55	Ja	7	97	100	55
21	Kvinde	176,00	72	54	Nej	10	100	160	60
24	Mand	180,00		80	Nej	4	50	60	30
22	Kvinde	154,00	55	58,5	Nej	7	76	84	49
23	Kvinde	158,00	50	60	Nej	4	90	110	50
22	Kvinde	164,00	70	65	Ja	10	42	60	28
21	Kvinde	172,00	67	65,4	Nej	7	100	150	30
22	Kvinde	178,00	67	56	Nej	4	60	50	35
21	Kvinde	168,00	59	68	Nej	7	120	150	65
21	Mand	181,00	62	56	Nej	12	110	150	50
22	Kvinde	163,00	45	55	Nej	7	45	78	27
19	Kvinde	160,00	60	60	Nej	4	100	110	40
21	Kvinde	180,00	63	57	Nej	10	67	77	37
24	Kvinde	174,00	80	70	Ja	7	50	95	35
21	Kvinde	168,00	65	66	Nej	7	75	112	50
21	Kvinde	165,00	60		Nej	-3	35	50	25
22	Kvinde	169,00	57	65	Ja	7	60	70	40
21	Kvinde	166,00	94	66	Nej	2	150	120	60
