sex	age	before	after
K	43	2.406	2.878
K	44	1.506	1.708
K	31	2.594	3.089
K	35	2.64	3.003
M	64	2.828	2.933
K	34	2.192	2.601
K	60	2.679	3.066
K	32	2.157	2.547
K	49	1.938	2.141
K	60	1.49	1.701
K	49	2.122	2.169
K	49	1.88	2.13
K	46	2.114	2.356
K	36	1.771	2.473
M	43	2.375	3.342
K	49	2.223	2.488
M	39	3.069	3.764
M	62	1.685	1.919
K	52	1.872	2.278
K	50	2.36	2.473
K	47	2.133	2.59
K	47	1.923	2.137
K	49	2.383	2.609
K	42	1.693	2.145
K	51	2.25	2.664
M	59	2.141	2.839
K	42	2.25	2.266
K	41	2.079	2.652
K	47	2.356	2.387
K	31	2.161	2.387
M	58	1.888	2.438
K	66	1.275	1.662
K	34	1.685	1.884
K	44	2.543	2.676
K	31	2.133	2.387
K	68	1.915	2.2
K	53	1.194	1.907
K	60	2.024	2.367
K	52	2.126	2.36
K	58	1.942	2.137
K	38	2.301	2.586
K	55	1.919	1.974
K	53	1.482	2.231
M	50	2.157	2.843
K	48	1.966	2.356
K	52	2.118	2.586
K	53	1.431	1.533
K	32	1.197	2.133
K	64	1.63	1.58
K	49	1.642	1.927
M	53	1.798	2.399
K	49	2.118	2.371
K	29	2.301	3.112
K	64	1.494	1.888
K	46	2.59	3.132
K	53	2.122	2.679
M	44	2.824	3.292
K	59	1.26	1.724
K	56	1.942	2.36
K	44	1.439	2.001
K	37	2.204	2.605
K	53	2.414	2.578
K	58	1.623	2.133
M	63	2.137	2.707
K	47	1.974	2.25
K	44	2.82	3.237
K	49	1.989	2.286
